Bilanciamento azioni individuo vs game clock,,,,,,
Generato 2026-09-07 - richiesta utente - solo per confronto valori, non e' letto da alcun codice del progetto,,,,,,
,,,,,,
SEZIONE A - Costanti attuali (unita' = giorno di gioco, non secondo reale),,,,,,
Parametro,File,Valore,Unita di misura,,,
HumanIndividual.move_speed,gameplay/scripts/entities/HumanIndividual.gd,10.0,microcelle / giorno di gioco (cammino continuo),,,
WalkAction.STAMINA_DRAIN_PER_MICROCELL_BASE,gameplay/scripts/actions/WalkAction.gd,5.0,stamina / microcella percorsa (senza carico ne' utensili - 2026-09-08: ora solo la base, vedi anche STAMINA_DRAIN_PER_TOOL e used_carry_space),,,
WalkAction.STAMINA_DRAIN_PER_TOOL,gameplay/scripts/actions/WalkAction.gd,3.0,stamina / microcella percorsa per ogni utensile equipaggiato (2026-09-08),,,
RestAction.STAMINA_REGEN_PER_DAY,gameplay/scripts/actions/RestAction.gd,50.0,stamina / giorno di gioco (riposo continuo),,,
max_stamina di riferimento (esempio per i calcoli sotto),-,5000.0,stamina,,,
,,,,,,
SEZIONE B - GameClockController.SECONDS_PER_DAY_BY_SPEED (quanti secondi reali per un giorno di gioco),,,,,,
Velocita,secondi reali / giorno di gioco,,,,,
X1,8.0,,,,,
X2,4.0,,,,,
X4,2.0,,,,,
X8,1.0,,,,,
DEBUG (extra - non richiesto esplicitamente ma presente nel sistema),0.25,,,,,
,,,,,,
SEZIONE C - Equivalenti "al secondo reale" per velocita di gioco (valore_per_giorno / secondi_per_giorno[velocita]),,,,,,
Parametro,Unita,X1,X2,X4,X8,DEBUG (extra)
Movimento (cammino continuo),microcelle / secondo reale,1.25,2.5,5.0,10.0,40.0
Consumo stamina camminando continuamente,stamina / secondo reale,6.25,12.5,25.0,50.0,200.0
Recupero stamina riposando continuamente,stamina / secondo reale,6.25,12.5,25.0,50.0,200.0
,,,,,,
Nota Sezione C: a parita di velocita di gioco il consumo camminando e il recupero riposando coincidono numericamente con le costanti attuali (50 stamina/microcella*microcelle al giorno = 50 stamina/giorno regen) - non e' un vincolo del codice ne una simmetria imposta altrove: e' solo una conseguenza dei valori scelti oggi (10.0 x 5.0 = 50.0 = STAMINA_REGEN_PER_DAY) utile da notare prima di ritarare ulteriormente.,,,,,,
,,,,,,
SEZIONE D - Valori calcolati per bilanciare (giorno intero di gioco, indipendenti dalla velocita selezionata - il game-day e' lo stesso, cambia solo quanti secondi reali impiega a passare),,,,,,
Grandezza,Valore,Unita,,,,
Microcelle percorribili in un giorno pieno di cammino continuo,10.0,microcelle,,,,
Stamina consumata in quel giorno pieno di cammino,50.0,stamina,,,,
Stamina recuperata in un giorno pieno di riposo continuo,50.0,stamina,,,,
max_stamina di riferimento usata per il calcolo sotto,5000.0,stamina,,,,
Giorni necessari per recuperare da stamina 0 a max_stamina di riferimento (riposo continuo),100.0,giorni di gioco,,,,
